,Date,Away Team,Away Score,Home Team,Home Score,Away Division,Home Division,Game Type,Game_ID,Away ELO Prior,Away EA,Away ELO Posterior,Away Delta,Home ELO Prior,Home EA,Home ELO Posterior,Home Delta
1555,03/15/26,Honey Badgers,1,Real Bacon,4,Division 6C,Division 6C,REG,03/15/26_Honey Badgers_@_Real Bacon,2557,85.6,2446,-111,2248,14.4,2358,110
1556,03/15/26,Stingers,2,Piranhas,5,Division 5C,Division 5C,REG,03/15/26_Stingers_@_Piranhas,3114,76.2,3017,-97,2912,23.8,3009,97
1557,03/15/26,Banana Blades,1,Winter 26 New Div 10 Purple,1,Division 10A,Division 10A,REG,03/15/26_Banana Blades_@_Winter 26 New Div 10 Purple,745,67.1,734,-11,622,32.9,633,11
1558,03/15/26,Wranglers,6,Mudflaps,1,Division 6D,Division 6D,REG,03/15/26_Wranglers_@_Mudflaps,2628,88.3,2647,19,2277,11.7,2258,-19
1559,03/15/26,Seals 5D,8,Monarchs 5D,2,Division 5D,Division 5D,REG,03/15/26_Seals 5D_@_Monarchs 5D,2837,84.1,2865,28,2548,15.9,2520,-28
1560,03/15/26,Purple Reign,4,Purple Puck Eaters,2,Division 9B,Division 9B,REG,03/15/26_Purple Reign_@_Purple Puck Eaters,1268,72.3,1301,33,1101,27.7,1067,-34
1561,03/15/26,Mighty Boosh,2,Rainier Reindeer HC-6B,10,Division 6B,Division 6B,REG,03/15/26_Mighty Boosh_@_Rainier Reindeer HC-6B,2290,5.9,2281,-9,2772,94.1,2781,9
1562,03/15/26,Hackers,1,Greenhorns,2,Division 6C,Division 6C,REG,03/15/26_Hackers_@_Greenhorns,2387,26.1,2369,-18,2568,73.9,2586,18
1563,03/15/26,Coyotes,3,Monarchs 6C,1,Division 6C,Division 6C,REG,03/15/26_Coyotes_@_Monarchs 6C,2674,73.7,2706,32,2495,26.3,2463,-32
1564,03/15/26,Dumb Pucks,5,Jokres,0,Division 6B,Division 6B,REG,03/15/26_Dumb Pucks_@_Jokres,2580,24.2,2697,117,2779,75.8,2662,-117
1565,03/16/26,Mighty Boosh,2,Dumb Pucks,7,Division 6B,Division 6B,REG,03/16/26_Mighty Boosh_@_Dumb Pucks,2281,8.3,2269,-12,2697,91.7,2708,11
1566,03/16/26,Dirty Couch Hockey Club,8,Icemen,5,Division 6B,Division 6B,REG,03/16/26_Dirty Couch Hockey Club_@_Icemen,2783,90.0,2798,15,2402,10.0,2388,-14
1567,03/16/26,Blades,4,Barrel Aged Brewzers,5,Division 6D,Division 6D,REG,03/16/26_Blades_@_Barrel Aged Brewzers,2365,26.3,2346,-19,2544,73.7,2562,18
1568,03/16/26,Ice-O-Topes,3,Not Sure 5A,3,Division 5A,Division 5A,REG,03/16/26_Ice-O-Topes_@_Not Sure 5A,2861,20.0,2885,24,3102,80.0,3078,-24
1569,03/16/26,Black Katz,5,Lumberjacks,7,Division 5D,Division 5D,REG,03/16/26_Black Katz_@_Lumberjacks,3003,61.3,2937,-66,2924,38.7,2990,66
1570,03/16/26,Steelhead,1,Skateful Dead,7,Division 4A,Division 4A,REG,03/16/26_Steelhead_@_Skateful Dead,3499,82.2,3371,-128,3234,17.8,3362,128
1571,03/16/26,Alpuckas,6,Highlanders,2,Division 5D,Division 5D,REG,03/16/26_Alpuckas_@_Highlanders,2767,47.2,2846,79,2787,52.8,2709,-78
1572,03/16/26,Wolves,5,Moose Knuckle,2,Division 4C,Division 4C,REG,03/16/26_Wolves_@_Moose Knuckle,3258,20.2,3365,107,3496,79.8,3389,-107
1573,03/16/26,Frozen Assets,2,Blackbirds,0,Division 9A,Division 9A,REG,03/16/26_Frozen Assets_@_Blackbirds,1809,73.9,1841,32,1628,26.1,1596,-32
1574,03/16/26,Yetis,3,Gamblers,3,Division 5C,Division 5C,REG,03/16/26_Yetis_@_Gamblers,3192,92.0,3161,-31,2767,8.0,2798,31
1575,03/16/26,PussyCats,3,Fossils,1,Division 6A,Division 6A,REG,03/16/26_PussyCats_@_Fossils,2547,21.9,2637,90,2767,78.1,2677,-90
1576,03/16/26,Flying Monkeys,0,Midnight Twist,7,Division 6A,Division 6A,REG,03/16/26_Flying Monkeys_@_Midnight Twist,2739,42.0,2673,-66,2795,58.0,2861,66
