Game#,Date,Away Team,Away Score,Home Team,Home Score,Away Division,Home Division,Game Type
,5-Oct-25,Honey Badgers,2,Raiders,1,Division 6C,Division 6D,REG
,5-Oct-25,Doom Clouds,4,Golden Mules,1,Division 10A,Division 10A,REG
,5-Oct-25,Chucklepucks,9,Seattle Dogs,3,Division 7A,Division 7C,REG
,5-Oct-25,Seals Lower,7,Hampton West Hockey Club,0,Division 7A,Division 7B,REG
,5-Oct-25,Roughnecks Mobile Infantry,2,Iced Awesome,2,Division 7B,Division 7B,REG
,5-Oct-25,LKI,1,Bandits,4,Division 7C,Division 7B,REG
,6-Oct-25,Alpuckas,7,Brewzers OGB,4,Division 5D,Division 6A,REG
,6-Oct-25,Rainier Reindeer HC-6B,4,Dumb Pucks,4,Division 6B,Division 6B,REG
,6-Oct-25,Dirty Couch Hockey Club,0,Fossils,4,Division 6B,Division 6A,REG
,6-Oct-25,Stingers,4,Seals 5D,3,Division 5C,Division 5D,REG
,6-Oct-25,Squids,2,PussyCats,4,Division 6A,Division 6A,REG
,6-Oct-25,Flying Monkeys,3,Jokres,1,Division 6A,Division 6B,REG
,6-Oct-25,Renegades,7,Bullets,1,Division 5B,Division 5C,REG
,6-Oct-25,Dumpster Fire,2,Yetis,2,Division 5A,Division 5C,REG
,6-Oct-25,WKUP-5,9,Monarchs 5D,3,Division 5B,Division 5D,REG
,6-Oct-25,Ice-O-Topes,5,Reapers,1,Division 5A,Division 5B,REG
,6-Oct-25,Trash Pandas 5B,8,Seagulls,5,Division 5B,Division 5B,REG
,6-Oct-25,Lumberjacks,4,Highlanders,7,Division 5D,Division 5D,REG
,6-Oct-25,DevilFish,4,BSOD,3,Division 4C,Division 4C,REG
,6-Oct-25,Roughnecks - Game Theory,3,Top Cheddar,4,Division 5A,Division 5A,REG
,6-Oct-25,Piranhas,2,Gamblers,4,Division 5C,Division 5C,REG
,7-Oct-25,Red Hots,5,Pineapple Express,4,Women''s Division Fall 2025,Women''s Division Fall 2025,REG
,7-Oct-25,Sirens,6,White Yetis,3,Women's Division Fall 2025,Women''s Division Fall 2025,REG
,7-Oct-25,40+ Advanced Bakers Dozen,8,40+ Advanced Road Apples,1,40+ Advanced Fall 2025,40+ Advanced Fall 2025,REG
,7-Oct-25,Skateful Dead,3,Maple Bars,6,Division 4A,Division 4A,REG
,7-Oct-25,Midnight Twist,0,Black Katz,3,Division 6A,Division 5D,REG
,7-Oct-25,Edible Arrangements,9,Moose Knuckle,3,Division 4C,Division 4C,REG
,7-Oct-25,Coconut Corgis,6,Buck Wild,9,Division 4A,Division 4B,REG
,7-Oct-25,Grey Dust Bunnies,1,Blue Footed Bloobies,9,Women''s Division Fall 2025,Women''s Division Fall 2025,REG
,7-Oct-25,Rink Flamingos,5,Black Sheesh,4,Women's Division Fall 2025,Women''s Division Fall 2025,REG
,7-Oct-25,40+ Advanced Puck Hogs,4,40+ Advanced Falk,4,40+ Advanced Fall 2025,40+ Advanced Fall 2025,REG
,7-Oct-25,40+ Advanced Gritty Pylons,1,40+ Advanced 40 Proof,4,40+ Advanced Fall 2025,40+ Advanced Fall 2025,REG
,7-Oct-25,Sabercats,2,Puckbuddies,5,Division 3B,Division 3B,REG
,7-Oct-25,Mighty Mallards,3,Kraken Up,7,Division 4B,Division 4B,REG
,8-Oct-25,Falcons,9,NW Stars,4,Division 1,Division 1,REG
,8-Oct-25,Greasy Weasels,1,Skeletons,2,Division 4B,Division 4C,REG
,8-Oct-25,40+ Coldtimers,4,40+ Geri Hat Tricks,4,40+ Fall 2025,40+ Fall 2025,REG
,8-Oct-25,Wolves,7,Dead Rabbits,3,Division 4C,Division 4C,REG
,8-Oct-25,Chinooks,6,Schilling Cider,4,Division 4A,Division 4B,REG
,8-Oct-25,40+ Assisted Living,5,40+ Rough Draft,4,40+ Fall 2025,40+ Fall 2025,REG
,8-Oct-25,Goal Diggers,7,Steelhead,2,Division 4A,Division 4A,REG
,8-Oct-25,Bar Down Transportation,10,Bombers,5,Division 3A,Division 3B,REG
,8-Oct-25,Northwest Crabs,3,Koronis Motors,3,Division 2,Division 2,REG
,8-Oct-25,40+ Carl''s Seniors,2,40+ Elder Skatesmen,8,40+ Fall 2025,40+ Fall 2025,REG
,8-Oct-25,40+ Red Flags,5,40+ Mid-Ice Crisis,5,40+ Fall 2025,40+ Fall 2025,REG
,8-Oct-25,MMHC,6,Breakers,6,Division 3B,Division 3B,REG
,8-Oct-25,40+ Gritty Pylons,6,40+ Puck Dynasty,4,40+ Fall 2025,40+ Fall 2025,REG
,9-Oct-25,Night Owls,4,LLUA,1,Division 4B,Division 4C,REG
,9-Oct-25,Red Dog,6,Puget Sound Pigeons,4,Division 2,Division 3,REG
,9-Oct-25,Rhinos,3,Chiefs,8,Division 3A,Division 2,REG
,9-Oct-25,The Herd,6,Eagles,3,Division 3,Division 3,REG
,9-Oct-25,Seattle Supernova,4,Mavericks,1,Division 1,Division 2,REG
,9-Oct-25,Shockers,4,Sasquatch,4,Division 3B,Division 3B,REG
,9-Oct-25,The Brigade,6,Pheasants,1,Division 2,Division 2,REG
,9-Oct-25,The Mighty Geoducks,4,Mustangs,4,Division 2,Division 1,REG
,9-Oct-25,ESB,4,ALTP,3,Division 1,Division 1,REG
,9-Oct-25,Pull Tab Bandits,8,Booze Hounds,2,Division 2,Division 3B,REG
,9-Oct-25,Not Sure 5A,0,Hooligans,1,Division 5A,Division 4C,REG
,11-Oct-25,Red Zeppelin,4,Golden Mules,2,Division 10A,Division 10A,REG
,11-Oct-25,Ice Breakers,1,Doom Clouds,3,Division 10A,Division 10A,REG
,11-Oct-25,Purple Reign,0,Beer Dragons,4,Division 9B,Division 9B,REG
,12-Oct-25,Tropical Punchers,4,Purple Puck Eaters,4,Division 9B,Division 9B,REG
,12-Oct-25,Pond Pigeons,2,Chucklepucks,10,Division 7C,Division 7A,REG
